date,jdate,high,low,open,close,volume
4/20/2020,1399-02-01,709012,691277,691277,708995,6775869348
4/21/2020,1399-02-02,726964,716060,716060,726137,6766131536
4/22/2020,1399-02-03,741952,729307,729307,741902,5832074074
4/25/2020,1399-02-06,770549,750464,750464,769373,3268853466
4/26/2020,1399-02-07,798105,780468,780468,797813,8728022060
4/27/2020,1399-02-08,820534,806172,806172,820505,7008109176
4/28/2020,1399-02-09,846008,830580,830580,845952,6391503110
4/29/2020,1399-02-10,878434,853992,853992,878094,4435490859
5/2/2020,1399-02-13,917501,892690,892690,917406,3561666228
5/3/2020,1399-02-14,964308,932736,932736,956200,5252148608
5/4/2020,1399-02-15,979106,956324,956324,979105,9435375771
5/5/2020,1399-02-16,995966,978019,992991,980571,18441732371
5/6/2020,1399-02-17,980515,965587,980515,977924,12207169240
5/9/2020,1399-02-20,1020910,990339,990339,1020218,6121409736
5/10/2020,1399-02-21,1044560,1033830,1033830,1043253,5912743990
5/11/2020,1399-02-22,1048820,1043070,1048820,1047763,7000008924
5/12/2020,1399-02-23,1045500,1020310,1045500,1021445,22026888743
5/13/2020,1399-02-24,1026060,1008010,1009360,1017662,16262242442
5/16/2020,1399-02-27,1016653,982410,1016653,987475,5506646850
5/17/2020,1399-02-28,979444,964004,979444,968460,10369705009
5/18/2020,1399-02-29,995184,978644,978644,995181,11443245251
5/19/2020,1399-02-30,1008560,1000870,1004700,1002125,8732531148
5/20/2020,1399-02-31,996750,985119,996630,986759,9267146855
5/23/2020,1399-03-03,986677,959306,986677,959840,11365797623
5/26/2020,1399-03-06,946195,926121,946195,926133,7377826258
5/27/2020,1399-03-07,938557,913435,913866,938550,11156199580
5/30/2020,1399-03-10,973495,939162,939162,973495,7108519719
5/31/2020,1399-03-11,987440,970270,983773,970413,12219515758
6/1/2020,1399-03-12,988120,971214,971583,988121,8803129433
6/2/2020,1399-03-13,1028530,996019,996019,1028538,10498413248
6/6/2020,1399-03-17,1068860,1046170,1046170,1068844,8921162776
6/7/2020,1399-03-18,1116280,1090970,1090970,1116187,6664794532
6/8/2020,1399-03-19,1127890,1114200,1121810,1118912,10434326227
6/9/2020,1399-03-20,1129080,1117340,1117340,1118118,9106492978
6/10/2020,1399-03-21,1153670,1127560,1127560,1153680,10191255302
6/13/2020,1399-03-24,1190500,1174020,1174020,1189807,7411217143
6/14/2020,1399-03-25,1201870,1178410,1201870,1185377,12626895539
6/15/2020,1399-03-26,1205650,1191070,1191070,1200121,7828202921
6/16/2020,1399-03-27,1229700,1204110,1204110,1229702,6261831081
6/20/2020,1399-03-31,1270600,1244900,1244900,1270603,5981561776
6/21/2020,1399-04-01,1300830,1292660,1292660,1300828,11160501191
6/22/2020,1399-04-02,1341530,1315830,1315830,1341532,8995572496
6/23/2020,1399-04-03,1391810,1364210,1364210,1391041,6410103386
6/24/2020,1399-04-04,1419430,1393580,1393580,1419439,5866572950
6/27/2020,1399-04-07,1466280,1436090,1436090,1466276,5386512550
6/28/2020,1399-04-08,1499890,1487660,1492710,1491952,15702101123
6/29/2020,1399-04-09,1481920,1460440,1476890,1481924,11969542093
6/30/2020,1399-04-10,1546850,1502960,1502960,1546850,5424660373
7/1/2020,1399-04-11,1612880,1577660,1577660,1612882,8424169276
7/4/2020,1399-04-14,1645260,1618820,1635660,1621368,13518558466
7/5/2020,1399-04-15,1655400,1620210,1624700,1655407,9076880721
7/6/2020,1399-04-16,1740870,1676370,1676370,1718350,5961887328
7/7/2020,1399-04-17,1748000,1734850,1734850,1747078,8769615327
7/8/2020,1399-04-18,1767010,1752520,1757560,1753678,14166076996
7/11/2020,1399-04-21,1741290,1719030,1726650,1741296,9087138878
7/12/2020,1399-04-22,1814830,1763460,1763460,1812832,10232084300
7/13/2020,1399-04-23,1822110,1799810,1812680,1822117,11451636537
7/14/2020,1399-04-24,1846160,1835130,1842380,1844860,8360271153
7/15/2020,1399-04-25,1845120,1838570,1840420,1841696,13503057383
7/18/2020,1399-04-28,1822650,1809030,1822650,1809147,7171367853
7/19/2020,1399-04-29,1864940,1797980,1797980,1864946,12659176002
7/20/2020,1399-04-30,1924880,1893780,1893780,1924798,7913995501
7/21/2020,1399-04-31,1920180,1901240,1920180,1916202,7836520240
7/22/2020,1399-05-01,1909690,1888590,1909690,1901169,6285974263
7/25/2020,1399-05-04,1953150,1932780,1932780,1952921,8981609217
7/26/2020,1399-05-05,1964180,1935960,1957560,1946134,8083273619
7/27/2020,1399-05-06,1933940,1900330,1924540,1933944,13331170649
7/28/2020,1399-05-07,1973490,1941150,1946460,1941157,13084373726
7/29/2020,1399-05-08,1924080,1899580,1924080,1904316,9197300428
8/1/2020,1399-05-11,1961640,1912600,1912600,1961649,9998721899
8/2/2020,1399-05-12,2013730,1961620,1961620,2011493,12610040235
8/3/2020,1399-05-13,2015420,1987590,2011870,1993328,7979094697
8/4/2020,1399-05-14,1995030,1986390,1986390,1995037,11558926385
8/5/2020,1399-05-15,2034210,2011980,2011980,2034187,8408247779
8/9/2020,1399-05-19,2083190,2068820,2068820,2078512,8358613968
8/10/2020,1399-05-20,2103310,2064650,2100700,2065112,11027604126
8/11/2020,1399-05-21,2039800,1999370,2039800,1999854,6183853347
8/12/2020,1399-05-22,2039460,1975290,2018690,1975545,8851849877
8/15/2020,1399-05-25,1944790,1902980,1944790,1903259,5560625292
8/16/2020,1399-05-26,1880840,1813550,1880840,1813574,4652454776
8/17/2020,1399-05-27,1815690,1794310,1799780,1815696,13066013650
8/18/2020,1399-05-28,1856530,1825350,1838800,1825354,11055218501
8/19/2020,1399-05-29,1812310,1756870,1812310,1757258,3923830325
8/22/2020,1399-06-01,1779560,1727220,1773450,1727265,8792057004
8/23/2020,1399-06-02,1710590,1662200,1710590,1662205,5504613157
8/24/2020,1399-06-03,1650690,1607250,1650690,1608544,9709942568
8/25/2020,1399-06-04,1650470,1621980,1621980,1650026,8353636864
8/26/2020,1399-06-05,1718760,1676640,1676640,1718763,3534573792
8/31/2020,1399-06-10,1762480,1727940,1753400,1727953,14841558644
9/1/2020,1399-06-11,1714960,1684730,1714960,1684741,4779935604
9/2/2020,1399-06-12,1660890,1631880,1660890,1631884,3849817286
9/5/2020,1399-06-15,1645280,1639170,1642190,1642038,9324762063
9/6/2020,1399-06-16,1669270,1647850,1660680,1647855,9062889130
9/7/2020,1399-06-17,1631690,1607210,1631690,1607212,3802198262
9/8/2020,1399-06-18,1587000,1570040,1587000,1570049,854599940
9/9/2020,1399-06-19,1556320,1546140,1552590,1556315,7076966915
9/12/2020,1399-06-22,1590460,1571480,1571480,1583747,4769372602
9/13/2020,1399-06-23,1593270,1574730,1584160,1578186,8297021386
9/14/2020,1399-06-24,1607490,1584450,1584450,1607491,7006506716
9/15/2020,1399-06-25,1667250,1633040,1633040,1664559,7401427233
9/16/2020,1399-06-26,1712040,1694530,1694530,1704099,14309953540
9/19/2020,1399-06-29,1712990,1686000,1699170,1699506,10078131174
9/20/2020,1399-06-30,1690720,1652240,1689630,1652249,5180391292
9/21/2020,1399-06-31,1619660,1595140,1619660,1595148,2682979522
9/22/2020,1399-07-01,1594180,1566520,1592670,1581206,9717365984
9/23/2020,1399-07-02,1621850,1596230,1596230,1611452,10684307910
9/26/2020,1399-07-05,1634890,1615650,1625530,1615678,6249270204
9/27/2020,1399-07-06,1599240,1572140,1599240,1572158,2905804409
9/28/2020,1399-07-07,1551440,1515930,1551440,1515933,1412448360
9/29/2020,1399-07-08,1497840,1483580,1497840,1492902,8873748832
9/30/2020,1399-07-09,1503410,1488990,1500810,1503413,8102307751
10/3/2020,1399-07-12,1546150,1513270,1513270,1546147,6394935945
10/4/2020,1399-07-13,1548960,1522930,1548960,1522938,13210031649
10/5/2020,1399-07-14,1504150,1489780,1504150,1490154,8485480921
10/6/2020,1399-07-15,1514710,1496050,1496050,1514699,5573399468
10/7/2020,1399-07-16,1541920,1526810,1526810,1540707,7400760074
10/10/2020,1399-07-19,1542110,1534050,1541130,1541843,6259120105
10/11/2020,1399-07-20,1600200,1554820,1554820,1597045,11768804405
10/12/2020,1399-07-21,1595960,1579320,1590290,1579566,15160828269
10/13/2020,1399-07-22,1588790,1570970,1583010,1579633,10722141530
10/14/2020,1399-07-23,1580970,1560560,1580970,1561451,5884201996
10/18/2020,1399-07-27,1548210,1514230,1548210,1514244,3337279128
10/19/2020,1399-07-28,1493940,1462380,1493940,1462382,1484911996
10/20/2020,1399-07-29,1450620,1419310,1450620,1419312,3401250927
10/21/2020,1399-07-30,1431080,1412280,1422830,1412300,10170446314
10/24/2020,1399-08-03,1396480,1374040,1396480,1374049,2569014788
10/26/2020,1399-08-05,1360240,1336580,1360240,1336583,6000059539
10/27/2020,1399-08-06,1329450,1301730,1329450,1301959,4618914028
10/28/2020,1399-08-07,1288340,1278840,1285520,1288286,5610643243
10/31/2020,1399-08-10,1312180,1294990,1294990,1305979,6504434829
11/1/2020,1399-08-11,1303510,1279880,1303510,1279902,4956633713
11/2/2020,1399-08-12,1267270,1262240,1267270,1264538,5216162788
11/4/2020,1399-08-14,1290500,1271520,1271520,1290507,5268439718
11/7/2020,1399-08-17,1277210,1262470,1277210,1262870,5541613371
11/8/2020,1399-08-18,1252300,1240480,1252300,1240513,1101596681
11/9/2020,1399-08-19,1225240,1214900,1225240,1215223,6620972135
11/10/2020,1399-08-20,1223260,1211900,1217980,1211936,8214236358
11/11/2020,1399-08-21,1221080,1210030,1214430,1221082,8554396238
11/14/2020,1399-08-24,1249510,1231050,1231050,1247591,4122853690
11/15/2020,1399-08-25,1268780,1257280,1261580,1257364,16100988695
11/16/2020,1399-08-26,1273740,1251400,1252820,1273747,8798789306
11/17/2020,1399-08-27,1309020,1283030,1283030,1296958,8663396085
11/18/2020,1399-08-28,1345400,1319950,1319950,1345295,6577194971
11/21/2020,1399-09-01,1374800,1366530,1370200,1366536,19667002049
11/22/2020,1399-09-02,1359480,1337630,1359480,1358848,17106964569
11/23/2020,1399-09-03,1384440,1369120,1369120,1375530,11225036316
11/24/2020,1399-09-04,1382200,1356940,1380840,1356944,21524946160
11/25/2020,1399-09-05,1367170,1344870,1348360,1367171,14463166857
11/28/2020,1399-09-08,1390800,1368560,1371420,1390803,17281599312
11/29/2020,1399-09-09,1427190,1405710,1405710,1427199,15814137118
11/30/2020,1399-09-10,1465970,1445700,1445700,1465934,14334810815
12/1/2020,1399-09-11,1474840,1457930,1460200,1473702,12756294341
12/2/2020,1399-09-12,1480720,1468900,1472200,1470968,13833002786
12/5/2020,1399-09-15,1490710,1463970,1464930,1490713,10665347293
12/6/2020,1399-09-16,1526570,1505190,1505190,1523106,12490671592
12/7/2020,1399-09-17,1531890,1512960,1523650,1512962,21808948958
12/8/2020,1399-09-18,1512580,1492770,1512580,1507363,13722271110
12/9/2020,1399-09-19,1515060,1502960,1511130,1506275,10798463436
12/12/2020,1399-09-22,1535250,1520510,1520510,1527453,14594084876
12/13/2020,1399-09-23,1520230,1509750,1520230,1515758,11644858133
12/14/2020,1399-09-24,1518210,1484100,1518210,1484159,6521500010
12/15/2020,1399-09-25,1459790,1428350,1459790,1428324,6521500010
12/16/2020,1399-09-26,1413450,1400370,1407130,1413430,12418576590
12/19/2020,1399-09-29,1444880,1429390,1429390,1444888,10053695004
12/20/2020,1399-09-30,1452890,1437350,1452580,1439055,9046000713
12/21/2020,1399-10-01,1444110,1428930,1434600,1436415,9016270370
12/22/2020,1399-10-02,1444880,1433590,1436100,1444889,10609432336
12/23/2020,1399-10-03,1454380,1447840,1453170,1447841,9479300241
12/26/2020,1399-10-06,1447700,1423500,1447700,1423507,8829685670
12/27/2020,1399-10-07,1420950,1407750,1419640,1419059,9963979528
12/28/2020,1399-10-08,1440730,1423010,1423010,1437142,8175616706
12/29/2020,1399-10-09,1438930,1411490,1438930,1411824,8230915060
12/30/2020,1399-10-10,1411540,1397840,1411540,1397848,7840080837
1/2/2021,1399-10-13,1389700,1354110,1389700,1354114,6065577245
1/3/2021,1399-10-14,1357900,1345820,1347700,1355475,8925080297
1/4/2021,1399-10-15,1375350,1361540,1361540,1374501,8791746228
1/5/2021,1399-10-16,1372480,1350210,1372480,1350211,8904611865
1/6/2021,1399-10-17,1342160,1310450,1342160,1310709,8503250697
1/9/2021,1399-10-20,1303850,1285940,1303460,1285948,10288013861
1/10/2021,1399-10-21,1310030,1295500,1295500,1306715,8674182628
1/11/2021,1399-10-22,1312750,1301240,1312750,1301245,9679612204
1/12/2021,1399-10-23,1295500,1260690,1295500,1260698,6828156829
1/13/2021,1399-10-24,1249380,1229870,1249380,1229890,10250216369
1/16/2021,1399-10-27,1223410,1186780,1223410,1186787,7772061093
1/18/2021,1399-10-29,1168400,1149720,1168400,1149722,3308414549
1/19/2021,1399-10-30,1150620,1129920,1136600,1150625,10365115501
1/20/2021,1399-11-01,1185110,1159090,1159090,1183948,5195508476
1/23/2021,1399-11-04,1222070,1198980,1198980,1222070,4737159684
1/24/2021,1399-11-05,1250930,1234590,1237010,1234597,15681567934
1/25/2021,1399-11-06,1236290,1221110,1229750,1235764,9116614034
1/26/2021,1399-11-07,1240100,1214830,1238780,1215034,7457374462
1/27/2021,1399-11-08,1207750,1195640,1206750,1207733,8643069142
1/30/2021,1399-11-11,1247170,1216670,1216670,1247177,5547352978
1/31/2021,1399-11-12,1268520,1250950,1264750,1250992,12335676777
2/1/2021,1399-11-13,1249530,1233550,1246540,1233614,8087403913
2/2/2021,1399-11-14,1226980,1204590,1226980,1205429,11158724947
2/3/2021,1399-11-15,1207530,1173050,1206050,1173050,8053844799
2/6/2021,1399-11-18,1164370,1135360,1164370,1135369,5822912944
2/7/2021,1399-11-19,1170490,1147970,1147970,1170497,5250429327
2/8/2021,1399-11-20,1195060,1185400,1185400,1192858,10959977448
2/9/2021,1399-11-21,1214370,1194040,1194040,1214371,7656883837
2/13/2021,1399-11-25,1262200,1239130,1239130,1262202,6812020606
2/14/2021,1399-11-26,1272400,1264330,1269480,1264338,11019032818
2/15/2021,1399-11-27,1260400,1257060,1260400,1257237,5874082757
2/16/2021,1399-11-28,1256530,1245800,1256530,1245844,3646486301
2/17/2021,1399-11-29,1246880,1238390,1246880,1238398,3465149156
2/20/2021,1399-12-02,1241480,1232750,1241480,1232762,3198918306
2/21/2021,1399-12-03,1229810,1222650,1229810,1222659,1146390922
2/22/2021,1399-12-04,1219750,1214500,1219750,1214500,1590353839
2/23/2021,1399-12-05,1211760,1208660,1211580,1211767,5860561500
2/24/2021,1399-12-06,1215880,1205720,1215700,1205798,3225759933
2/27/2021,1399-12-09,1201940,1193970,1201940,1193978,1833200267
2/28/2021,1399-12-10,1192170,1185400,1192170,1185599,1057407424
3/1/2021,1399-12-11,1183880,1181210,1181790,1181659,3331991170
3/2/2021,1399-12-12,1190730,1182520,1182520,1186334,4498664813
3/3/2021,1399-12-13,1186060,1177950,1186060,1177976,2713127545
3/6/2021,1399-12-16,1175540,1169740,1175540,1169761,1975399821
3/7/2021,1399-12-17,1175590,1168090,1168090,1175591,4423613736
3/8/2021,1399-12-18,1199940,1178190,1178190,1199945,6664175236
3/9/2021,1399-12-19,1215720,1203570,1203570,1210149,6038212391
3/10/2021,1399-12-20,1206780,1203990,1205170,1206782,2858107825
3/13/2021,1399-12-23,1229480,1205950,1206310,1229419,5811625371
3/14/2021,1399-12-24,1246060,1233740,1233740,1245140,7955737604
3/15/2021,1399-12-25,1254250,1241410,1242820,1254252,5728688212
3/16/2021,1399-12-26,1290520,1255480,1255480,1290519,6832208157
3/17/2021,1399-12-27,1309860,1305450,1305450,1307658,5267125203
3/27/2021,1400-01-07,1309790,1304330,1307510,1309573,6016487253
3/28/2021,1400-01-08,1311180,1304520,1310910,1306859,4237448991
3/30/2021,1400-01-10,1306080,1302850,1305230,1303089,3063023474
3/31/2021,1400-01-11,1303100,1294540,1302900,1294544,2420645005
4/3/2021,1400-01-14,1292110,1282870,1292110,1282874,1438577569
4/4/2021,1400-01-15,1280970,1269530,1280970,1269534,833646502
4/5/2021,1400-01-16,1266760,1261350,1266760,1262745,2745085592
4/6/2021,1400-01-17,1267130,1260800,1265420,1260800,2787025196
4/7/2021,1400-01-18,1258600,1249890,1258600,1249898,1068639226
4/10/2021,1400-01-21,1246740,1240750,1246740,1240759,588396551
4/11/2021,1400-01-22,1237340,1230920,1237340,1230927,1265213974
4/12/2021,1400-01-23,1228760,1225810,1228760,1226119,2409026367
4/13/2021,1400-01-24,1245540,1234640,1234640,1244587,5631017338
4/14/2021,1400-01-25,1245620,1243040,1245600,1243236,2980081548
4/17/2021,1400-01-28,1241280,1233720,1241280,1233724,885610263
4/18/2021,1400-01-29,1231020,1224770,1231020,1224778,629873549
4/19/2021,1400-01-30,1221330,1216160,1221330,1216836,2265944945
4/20/2021,1400-01-31,1220870,1217280,1218570,1219665,4424916507
4/21/2021,1400-02-01,1217270,1207060,1217270,1207063,2011429984
4/24/2021,1400-02-04,1205470,1199330,1205470,1199339,1490632244
4/25/2021,1400-02-05,1197080,1187810,1197080,1187820,1216771556
4/26/2021,1400-02-06,1187200,1184030,1187200,1186933,3058115485
4/27/2021,1400-02-07,1203460,1189820,1189820,1202638,4983855887
4/28/2021,1400-02-08,1210950,1204000,1204000,1207702,5437139508
5/1/2021,1400-02-11,1208560,1194300,1208560,1194304,3701769749
5/2/2021,1400-02-12,1191400,1180700,1191400,1180709,2041457656
5/3/2021,1400-02-13,1176770,1167070,1176770,1167073,1589299529
5/5/2021,1400-02-15,1172610,1167870,1167870,1172249,3573775657
5/8/2021,1400-02-18,1176190,1167490,1176190,1167498,1895501673
5/9/2021,1400-02-19,1164800,1151870,1164800,1151873,2041883508
5/10/2021,1400-02-20,1157640,1149380,1149820,1157642,4471852176
5/11/2021,1400-02-21,1179620,1161040,1161040,1179618,4495270628
5/12/2021,1400-02-22,1190210,1183960,1185340,1183980,3672387461
5/15/2021,1400-02-25,1192890,1181600,1182730,1189524,3040412416
5/16/2021,1400-02-26,1192340,1188800,1189690,1188806,4768075442
5/17/2021,1400-02-27,1188210,1174670,1188210,1174673,3951632686
5/18/2021,1400-02-28,1177060,1172190,1172370,1173536,3966650386
5/19/2021,1400-02-29,1172920,1154760,1172920,1154768,2837606733
5/22/2021,1400-03-01,1149260,1127250,1149260,1128164,3140846699
5/23/2021,1400-03-02,1123500,1107790,1123500,1107900,2736872962
5/24/2021,1400-03-03,1105220,1095720,1105220,1095726,3100360796
5/25/2021,1400-03-04,1105850,1095800,1095800,1105446,3828842175
5/26/2021,1400-03-05,1110560,1106280,1106380,1109370,3187572389
5/29/2021,1400-03-08,1139620,1111520,1111520,1139481,5193610223
5/30/2021,1400-03-09,1163570,1152570,1152570,1156892,6544526193
5/31/2021,1400-03-10,1155680,1145970,1155680,1145971,4231361800
6/1/2021,1400-03-11,1147490,1140490,1146610,1140498,3867028257
6/2/2021,1400-03-12,1148660,1141410,1141580,1148666,4348234319
6/7/2021,1400-03-17,1157240,1151220,1151220,1157229,4346687369
6/8/2021,1400-03-18,1166720,1159570,1159570,1160568,7223890859
6/9/2021,1400-03-19,1160360,1151840,1160360,1151842,5282897554
6/12/2021,1400-03-22,1152360,1144870,1151810,1144873,4392171425
6/13/2021,1400-03-23,1144590,1140550,1144590,1141290,4285498371
6/14/2021,1400-03-24,1150210,1142480,1142480,1150215,5291759110
6/15/2021,1400-03-25,1155210,1150150,1152790,1150159,6211631825
6/16/2021,1400-03-26,1149910,1147660,1149300,1147669,4460515642
6/19/2021,1400-03-29,1161980,1150970,1150970,1161985,4947610675
6/20/2021,1400-03-30,1169040,1163710,1168220,1163716,5702591827
6/21/2021,1400-03-31,1168590,1160910,1162360,1168593,6855160451
6/22/2021,1400-04-01,1186900,1173270,1173270,1186906,6922063457
6/23/2021,1400-04-02,1213020,1186960,1186960,1213023,8919103052
6/26/2021,1400-04-05,1236400,1219380,1219380,1233783,7294193269
6/27/2021,1400-04-06,1240630,1230470,1233930,1238486,7958311624
6/28/2021,1400-04-07,1243740,1236470,1240510,1243748,7726931471
6/29/2021,1400-04-08,1250970,1244400,1244400,1248540,6459143878
6/30/2021,1400-04-09,1256960,1248100,1249300,1256960,6152334613
7/3/2021,1400-04-12,1258900,1246050,1258600,1246055,6308319007
7/4/2021,1400-04-13,1244540,1237550,1242840,1243752,5329408022
7/5/2021,1400-04-14,1254610,1245320,1245320,1254612,5791965079
7/6/2021,1400-04-15,1281270,1261580,1261580,1281130,6464619858
7/7/2021,1400-04-16,1284730,1282010,1283530,1282019,5660855792
7/10/2021,1400-04-19,1281600,1270700,1281600,1270727,5276527515
7/11/2021,1400-04-20,1285280,1270570,1270570,1285283,6743793882
7/12/2021,1400-04-21,1307750,1288550,1288550,1304333,6664856269
7/13/2021,1400-04-22,1309310,1302440,1303420,1303921,6676900783
7/14/2021,1400-04-23,1305540,1300770,1303300,1305491,6362755008
7/17/2021,1400-04-26,1317930,1311220,1313360,1311220,7531264197
7/18/2021,1400-04-27,1310110,1300970,1310110,1302916,6782169555
7/19/2021,1400-04-28,1311270,1304670,1304670,1311278,4378318444
7/26/2021,1400-05-04,1323640,1313130,1313130,1323391,4015605714
7/27/2021,1400-05-05,1329370,1314920,1325050,1314954,4908506632
7/28/2021,1400-05-06,1320880,1315480,1315480,1316516,5442088670
7/31/2021,1400-05-09,1351460,1320120,1320120,1351468,6718253017
8/1/2021,1400-05-10,1361730,1358070,1358070,1360281,6201045110
8/2/2021,1400-05-11,1361240,1357730,1360330,1357969,5721659098
8/3/2021,1400-05-12,1375610,1358830,1358830,1375612,6422036871
8/4/2021,1400-05-13,1406060,1381500,1381500,1406058,7294600290
8/7/2021,1400-05-16,1417740,1407750,1415630,1407759,6959535853
8/8/2021,1400-05-17,1418850,1407330,1407950,1417863,5935066908
8/9/2021,1400-05-18,1433170,1420480,1420480,1433176,8109751537
8/10/2021,1400-05-19,1453790,1436980,1436980,1453797,8162552401
8/11/2021,1400-05-20,1484590,1463390,1463390,1484590,8981827908
8/14/2021,1400-05-23,1490390,1477570,1490390,1480830,11703148905
8/15/2021,1400-05-24,1500000,1480870,1481530,1500000,8861705823
8/22/2021,1400-05-31,1518690,1505880,1505880,1515483,11347478380
8/23/2021,1400-06-01,1517100,1508590,1517100,1515886,10269649249
